収支区分,取引口座,カードラベル,取引内容,マッチ条件,金額（最小値）,金額（最大値）,優先度,マッチ後のアクション,振替口座,取引テンプレート,購入データ原本に準拠,取引先,適格請求書等,勘定科目,税区分,品目,部門,メモタグ（複数指定可・カンマ区切り）,セグメント1,セグメント2,セグメント3,備考,消込を実行する際の差額,差額金額の設定（消込の過小入金・出金）,勘定科目（消込の過小入金・出金）,税区分（消込の過小入金・出金）,品目（消込の過小入金・出金）,部門（消込の過小入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金）,セグメント1（消込の過小入金・出金）,セグメント2（消込の過小入金・出金）,セグメント3（消込の過小入金・出金）,備考（消込の過小入金・出金）,勘定科目（消込の過小入金・出金の複合差額）,税区分（消込の過小入金・出金の複合差額）,品目（消込の過小入金・出金の複合差額）,部門（消込の過小入金・出金の複合差額）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金の複合差額）,セグメント1（消込の過小入金・出金の複合差額）,セグメント2（消込の過小入金・出金の複合差額）,セグメント3（消込の過小入金・出金の複合差額）,備考（消込の過小入金・出金の複合差額）,差額金額の設定（消込の過剰入金・出金）,勘定科目（消込の過剰入金・出金）,税区分（消込の過剰入金・出金）,品目（消込の過剰入金・出金）,部門（消込の過剰入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過剰入金・出金）,セグメント1（消込の過剰入金・出金）,セグメント2（消込の過剰入金・出金）,セグメント3（消込の過剰入金・出金）,備考（消込の過剰入金・出金）
支出,,,【商品本体】 高儀 TAKAGI ステンレス角バット網 8枚取 日本製 （消費税率10％） （注文番号:250-2793508-1299044）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-2793508-1299044）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 谷口金属 お菓子作りに最適な軽量 ケーキバット 1号 35×25.4×1.9cm お菓子作り以外にも使用可能 プロ仕様 業務用 オーブン 冷蔵 対応 日本製 ケーキ お菓子 料理 下ごしらえ （消費税率10％） （注文番号:250-2793508-1299044）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-2793508-1299044）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 谷口金属 お菓子作りに最適な軽量 ケーキバット 1号 35×25.4×1.9cm お菓子作り以外にも使用可能 プロ仕様 業務用 オーブン 冷蔵 対応 日本製 ケーキ お菓子 料理 下ごしらえ （消費税率10％） （注文番号:250-2793508-1299044）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-2793508-1299044）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,,,預金利息,完全一致,,,0,取引を推測する,,,,預金利息,該当しない,支払利息,非課仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 厨房専門店 安吉 ワゴンステンレス 棚板820mm×500mm キャスター付き 5段 ステンレスカート 組立式 PRO-L5 業務用 KIPROSTAR(キプロスター) （消費税率10％） （注文番号:250-5249483-4123025）（適格）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-5249483-4123025）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 サンコープラスチック(SankoPlastic) 日本製 食品用コンテナ フードテナー NO10、20共通蓋 クリアー 552388 （消費税率10％） （注文番号:250-2793508-1299044）（適格）,完全一致,,,0,取引を推測する,,,,日本製 食品用コンテナ フードテナー NO10、20共通蓋 クリアー 552388 （消費税率10％） （注文番号:250-2793508-1299044）（適格）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 サンコープラスチック(SankoPlastic) 日本製 食品用コンテナ フードテナー NO10、20共通蓋 クリアー 552388 （消費税率10％） （注文番号:250-2793508-1299044）（適格）,完全一致,,,0,取引を推測する,,,,日本製 食品用コンテナ フードテナー NO10、20共通蓋 クリアー 552388 （消費税率10％） （注文番号:250-2793508-1299044）（適格）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 タブレット Android16 10インチ wi-fiモデル 8コアCPU 24GB RAM+128GB ROM+2TB拡張 アンドロイド たぶれっと 軽量 高刷新率 tablet 大画面 8000mAh大容量バッテリー Type-C充電 WidevineL1 BT5.2/顔認証/2.4G&5GWi-Fi/分割画面/無線投影/学習・ビジネス・子供対応 日本語説明書 (メモリー128ギガ) （消費税率10％） （注文番号:250-3774639-9084628）（免税）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-3774639-9084628）（免税）,,通信費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 Hotdogger 屋外看板 A1ポスター 重し土台付 ス??ンド ディスプレイ A型 両面 立て看板 （消費税率10％） （注文番号:250-2649240-7203800）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-2649240-7203800）（適格）,,広告宣伝費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 Hotdogger 屋外看板 A1ポスター 重し土台付 スタンド ディスプレイ A型 両面 立て看板 （消費税率10％） （注文番号:250-2649240-7203800）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-2649240-7203800）（適格）,,広告宣伝費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
